date,pm2_5,pm10,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,T2M,RH2M,WS10M,PRECTOTCORR,target_pm2_5_next_day,pm2_5_lag1,pm2_5_lag2,pm2_5_lag3,pm2_5_roll3,month,day_of_year
2023-12-28,119.90416666666665,173.09583333333333,50.80833333333334,51.270833333333336,98.91666666666667,179.625,14.45,58.29,1.46,0.0,161.97083333333333,136.58333333333334,123.51666666666667,100.2,126.66805555555551,12,362
2023-12-29,161.97083333333333,234.4125,69.10416666666667,83.0,101.875,196.66666666666666,15.35,51.45,1.35,0.0,159.92083333333332,119.90416666666665,136.58333333333334,123.51666666666667,139.4861111111111,12,363
2023-12-30,159.92083333333332,232.34583333333333,74.825,84.34166666666667,88.45833333333333,216.29166666666666,14.8,51.85,1.64,0.0,121.14583333333333,161.97083333333333,119.90416666666665,136.58333333333334,147.26527777777775,12,364
2023-12-31,121.14583333333333,176.45416666666665,60.1875,68.97083333333333,72.29166666666667,197.91666666666666,13.8,49.72,1.25,0.0,101.67083333333333,159.92083333333332,161.97083333333333,119.90416666666665,147.67916666666665,12,365
2024-01-01,101.67083333333333,147.725,50.94166666666666,56.59166666666667,67.29166666666667,177.875,12.19,59.47,2.34,0.0,103.95,121.14583333333333,159.92083333333332,161.97083333333333,127.57916666666665,1,1
2024-01-02,103.95,150.65416666666667,49.68333333333334,55.5875,73.91666666666667,173.58333333333334,12.34,56.57,2.25,0.0,118.52083333333333,101.67083333333333,121.14583333333333,159.92083333333332,108.9222222222222,1,2
2024-01-03,118.52083333333333,172.08333333333334,48.62916666666666,51.65416666666667,86.54166666666667,180.95833333333334,13.09,45.68,1.79,0.0,118.34166666666665,103.95,101.67083333333333,121.14583333333333,108.04722222222222,1,3
2024-01-04,118.34166666666665,171.9375,41.34583333333333,41.487500000000004,71.79166666666667,182.625,11.26,60.43,1.87,0.0,114.575,118.52083333333333,103.95,101.67083333333333,113.60416666666664,1,4
2024-01-05,114.575,167.49583333333334,40.579166666666666,37.958333333333336,67.91666666666667,183.625,11.51,68.29,1.57,0.0,114.00416666666666,118.34166666666665,118.52083333333333,103.95,117.14583333333331,1,5
2024-01-06,114.00416666666666,166.40416666666667,36.666666666666664,39.4,81.41666666666667,178.625,11.67,69.21,1.32,0.0,138.01250000000002,114.575,118.34166666666665,118.52083333333333,115.64027777777774,1,6
2024-01-07,138.01250000000002,200.4625,52.958333333333336,56.24166666666667,84.95833333333333,184.75,11.21,72.18,1.6,0.0,150.83333333333334,114.00416666666666,114.575,118.34166666666665,122.19722222222221,1,7
2024-01-08,150.83333333333334,220.35,59.74166666666667,67.34583333333333,80.91666666666667,198.625,13.99,57.67,1.44,0.0,102.91666666666667,138.01250000000002,114.00416666666666,114.575,134.28333333333333,1,8
2024-01-09,102.91666666666667,150.32916666666668,32.516666666666666,29.920833333333334,72.20833333333333,194.04166666666666,13.13,58.17,1.8,0.44,81.01666666666667,150.83333333333334,138.01250000000002,114.00416666666666,130.5875,1,9
2024-01-10,81.01666666666667,117.22916666666667,22.616666666666664,22.9375,76.625,164.08333333333334,11.66,55.33,3.84,0.0,97.32083333333333,102.91666666666667,150.83333333333334,138.01250000000002,111.58888888888889,1,10
2024-01-11,97.32083333333333,142.42499999999998,26.75,29.333333333333332,92.20833333333333,167.54166666666666,10.61,53.14,3.3,0.0,94.42083333333333,81.01666666666667,102.91666666666667,150.83333333333334,93.75138888888887,1,11
2024-01-12,94.42083333333333,136.80833333333334,30.47083333333333,32.93333333333333,73.91666666666667,170.95833333333334,11.2,47.98,3.25,0.0,121.14583333333333,97.32083333333333,81.01666666666667,102.91666666666667,90.91944444444442,1,12
