date,T2M,RH2M,WS10M,PRECTOTCORR
2023-12-29,15.35,51.45,1.35,0.0
2023-12-30,14.8,51.85,1.64,0.0
2023-12-31,13.8,49.72,1.25,0.0
2024-01-01,12.19,59.47,2.34,0.0
2024-01-02,12.34,56.57,2.25,0.0
2024-01-03,13.09,45.68,1.79,0.0
2024-01-04,11.26,60.43,1.87,0.0
2024-01-05,11.51,68.29,1.57,0.0
2024-01-06,11.67,69.21,1.32,0.0
2024-01-07,11.21,72.18,1.6,0.0
2024-01-08,13.99,57.67,1.44,0.0
2024-01-09,13.13,58.17,1.8,0.44
2024-01-10,11.66,55.33,3.84,0.0
2024-01-11,10.61,53.14,3.3,0.0
2024-01-12,11.2,47.98,3.25,0.0
2024-01-13,12.81,42.54,2.48,0.0
2024-01-14,11.84,43.3,2.94,0.0
2024-01-15,11.46,45.32,2.42,0.0
2024-01-16,12.15,43.45,2.16,0.0
2024-01-17,12.0,42.26,2.21,0.0
2024-01-18,12.41,45.61,1.38,0.0
2024-01-19,12.52,49.3,1.61,0.0
2024-01-20,12.29,49.95,1.34,0.0
2024-01-21,11.12,53.01,3.67,0.0
2024-01-22,11.83,38.7,1.64,0.0
2024-01-23,13.07,39.27,2.15,0.0
2024-01-24,12.49,45.28,2.06,0.0
2024-01-25,12.77,45.75,1.6,0.0
2024-01-26,14.99,38.05,1.13,0.0
2024-01-27,14.78,38.48,4.0,0.0
2024-01-28,14.25,44.64,2.38,0.0
2024-01-29,15.37,44.84,2.0,0.0
2024-01-30,16.16,42.92,1.46,0.0
2024-01-31,16.08,50.07,1.86,1.99
2024-02-01,14.26,73.16,4.13,16.76
2024-02-02,13.83,57.25,3.34,0.03
2024-02-03,15.72,39.92,3.22,0.38
2024-02-04,15.03,83.36,1.98,3.03
2024-02-05,15.45,66.77,2.73,0.1
2024-02-06,12.68,41.28,4.07,0.0
2024-02-07,12.76,41.85,4.47,0.0
2024-02-08,12.51,42.24,5.72,0.0
2024-02-09,14.35,35.15,2.63,0.0
2024-02-10,15.69,33.51,1.34,0.0
2024-02-11,15.07,42.52,2.18,0.0
2024-02-12,16.91,40.35,1.33,0.0
2024-02-13,17.65,34.89,1.3,0.0
2024-02-14,16.78,41.28,2.36,0.0
2024-02-15,16.76,45.43,2.65,0.0
2024-02-16,16.74,37.97,2.61,0.0
2024-02-17,17.34,33.27,3.17,0.0
2024-02-18,19.55,30.47,2.52,0.0
2024-02-19,19.88,37.77,4.8,0.02
2024-02-20,20.6,55.19,2.08,1.39
2024-02-21,17.72,35.78,3.11,0.0
2024-02-22,17.08,35.52,3.0,0.0
2024-02-23,15.79,38.54,3.43,0.0
2024-02-24,17.01,33.89,2.48,0.0
2024-02-25,17.31,31.93,2.62,0.0
2024-02-26,18.28,33.2,3.27,0.0
2024-02-27,17.51,50.0,3.66,0.23
2024-02-28,18.15,46.72,4.12,0.01
2024-02-29,18.77,37.17,3.57,0.0
2024-03-01,22.17,36.53,2.39,2.54
2024-03-02,20.11,60.49,5.09,5.24
2024-03-03,18.56,69.75,2.46,7.7
2024-03-04,15.19,37.01,3.28,0.05
2024-03-05,14.65,31.26,3.95,0.0
2024-03-06,15.48,33.17,3.57,0.0
2024-03-07,17.8,36.77,3.39,0.0
2024-03-08,18.99,37.41,3.65,0.0
2024-03-09,18.67,37.46,4.03,0.0
2024-03-10,19.97,35.94,2.71,0.0
2024-03-11,22.55,31.04,1.97,0.0
2024-03-12,23.13,34.67,2.88,0.0
2024-03-13,23.08,34.57,3.28,0.02
2024-03-14,22.51,35.78,3.04,0.0
2024-03-15,21.98,34.23,4.25,0.0
2024-03-16,20.45,28.67,2.68,0.0
2024-03-17,21.4,26.27,2.71,0.0
2024-03-18,22.64,28.43,3.16,0.0
2024-03-19,23.29,28.31,3.01,0.0
2024-03-20,25.53,22.49,1.75,0.0
2024-03-21,21.9,28.5,3.12,0.0
2024-03-22,24.74,29.4,2.84,0.0
2024-03-23,26.75,26.44,4.66,0.0
2024-03-24,24.62,27.57,3.1,0.0
2024-03-25,25.92,27.19,4.31,0.0
2024-03-26,27.34,27.25,3.4,0.0
2024-03-27,30.05,25.42,2.94,0.0
2024-03-28,30.98,30.71,2.86,0.0
2024-03-29,31.17,32.97,1.93,0.16
2024-03-30,29.96,28.77,3.6,3.52
2024-03-31,28.6,23.42,3.57,0.0
2024-04-01,26.08,29.61,5.19,0.0
2024-04-02,26.81,19.34,4.39,0.0
2024-04-03,29.08,21.1,1.64,0.0
2024-04-04,29.96,18.97,2.71,0.0
2024-04-05,28.79,21.31,4.02,0.0
2024-04-06,27.68,19.14,3.77,0.0
2024-04-07,27.9,15.37,3.79,0.0
2024-04-08,29.41,15.81,3.24,0.0
2024-04-09,29.36,14.78,3.01,0.0
2024-04-10,30.48,15.94,2.3,0.0
